zip_part	map	page	images	categories
1	Compound	https://counterstrike.fandom.com/wiki/Compound	Image	Counter-Strike: Source Hostage maps
1	Conditionabillion	https://counterstrike.fandom.com/wiki/Conditionabillion	Image	Counter-Strike: Condition Zero cut maps
1	Construction	https://counterstrike.fandom.com/wiki/Construction	Image	Counter-Strike: Condition Zero cut maps
1	Corruption	https://counterstrike.fandom.com/wiki/Corruption	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike: Condition Zero Bomb maps
1	Counter Terrorist Training	https://counterstrike.fandom.com/wiki/Counter_Terrorist_Training	Image	Training maps
1	Counter-Terrorist Training Center	https://counterstrike.fandom.com/wiki/Counter-Terrorist_Training_Center	Image	Counter-Strike cut maps; Training maps
2	County	https://counterstrike.fandom.com/wiki/County	Image; Radar; Logo	Community Danger Zone maps; Operation Riptide maps; Counter-Strike: Global Offensive removed maps
2	Cranes	https://counterstrike.fandom.com/wiki/Cranes	Image	Counter-Strike: Global Offensive cut maps
2	Crash	https://counterstrike.fandom.com/wiki/Crash	Image	Counter-Strike: Source experimental maps
2	Crashsite	https://counterstrike.fandom.com/wiki/Crashsite	Image	Operation Bloodhound maps
2	Crete	https://counterstrike.fandom.com/wiki/Crete	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
2	Cruise	https://counterstrike.fandom.com/wiki/Cruise	Image; Radar	Community Hostage maps; Operation Wildfire maps
2	Cultivating Trouble	https://counterstrike.fandom.com/wiki/Cultivating_Trouble	Image; Overview	Operation Broken Fang maps; Co-op Strike maps
2	Dahab	https://counterstrike.fandom.com/wiki/Dahab	Image	Counter-Strike: Condition Zero cut maps
2	Damage	https://counterstrike.fandom.com/wiki/Damage	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
2	Demolition Training	https://counterstrike.fandom.com/wiki/Demolition_Training	Image	Training maps
2	Depot	https://counterstrike.fandom.com/wiki/Depot	Image	Counter-Strike: Global Offensive cut maps
2	Desert	https://counterstrike.fandom.com/wiki/Desert	Image	Counter-Strike cut maps
2	Desertbunker	https://counterstrike.fandom.com/wiki/Desertbunker	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
2	Destown	https://counterstrike.fandom.com/wiki/Destown	Image	Assassination maps; Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
2	Dizzy	https://counterstrike.fandom.com/wiki/Dizzy	Image; Radar; Logo	Operation Hydra maps; Flying Scoutsman Group
2	Docks	https://counterstrike.fandom.com/wiki/Docks	Image	Counter-Strike cut maps
2	Dogtown	https://counterstrike.fandom.com/wiki/Dogtown	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
2	Downed	https://counterstrike.fandom.com/wiki/Downed	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero Hostage maps
2	Downtown	https://counterstrike.fandom.com/wiki/Downtown	Image; Radar	Community Hostage maps; Operation Payback maps; Operation Phoenix maps
2	Dust	https://counterstrike.fandom.com/wiki/Dust	Image; Radar; Logo	Counter-Strike (Xbox) Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source Bomb maps; Counter-Strike: Global Offensive removed maps
2	Dust II	https://counterstrike.fandom.com/wiki/Dust_II	Image; Radar; Logo	Counter-Strike (Xbox) Bomb maps; Counter-Strike 2 Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Global Offensive Bomb maps; Counter-Strike: Source Bomb maps; Active Duty Group; Retakes Group
2	Dust II (Retro)	https://counterstrike.fandom.com/wiki/Dust_II_(Retro)	Image	Counter-Strike: Global Offensive special maps
2	Dust II Control	https://counterstrike.fandom.com/wiki/Dust_II_Control	Image; Radar	Control Point maps
2	Dust3	https://counterstrike.fandom.com/wiki/Dust3	Image	Counter-Strike: Source cut maps
2	Edin	https://counterstrike.fandom.com/wiki/Edin	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
2	Elysion	https://counterstrike.fandom.com/wiki/Elysion	Image; Radar; Logo	Community Bomb maps; Operation Broken Fang maps
2	Ember	https://counterstrike.fandom.com/wiki/Ember	Image; Radar; Logo	Community Danger Zone maps; Danger Zone maps; Danger Zone Group
2	Empire	https://counterstrike.fandom.com/wiki/Empire	Image; Radar	Community Bomb maps; Operation Wildfire maps
2	Engage	https://counterstrike.fandom.com/wiki/Engage	Image; Radar; Logo	Community Bomb maps; Counter-Strike Community maps; Operation Broken Fang maps
2	Estate	https://counterstrike.fandom.com/wiki/Estate	Image	Counter-Strike Hostage maps
2	Extraction	https://counterstrike.fandom.com/wiki/Extraction	Image; Radar; Logo	Community Bomb maps; Operation Riptide maps
2	Facade	https://counterstrike.fandom.com/wiki/Facade	Image; Radar	Community Bomb maps; Operation Vanguard maps
2	Facility	https://counterstrike.fandom.com/wiki/Facility	Image	Counter-Strike cut maps
2	Fang	https://counterstrike.fandom.com/wiki/Fang	Image	Counter-Strike cut maps
2	Fastline	https://counterstrike.fandom.com/wiki/Fastline	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source cut maps
2	Favela	https://counterstrike.fandom.com/wiki/Favela	Image; Radar	Community Bomb maps; Operation Payback maps; Operation Phoenix maps
2	Foption	https://counterstrike.fandom.com/wiki/Foption	Image	Counter-Strike cut maps
2	Forest	https://counterstrike.fandom.com/wiki/Forest	Image	Assassination maps; Counter-Strike cut maps
2	Frantic	https://counterstrike.fandom.com/wiki/Frantic	Image	Counter-Strike cut maps; Escape maps
2	Frostbite	https://counterstrike.fandom.com/wiki/Frostbite	Image; Radar; Logo	Community Danger Zone maps; Operation Broken Fang maps; Counter-Strike: Global Offensive removed maps
2	Genoserv	https://counterstrike.fandom.com/wiki/Genoserv	Image	Counter-Strike: Condition Zero cut maps
2	Golden	https://counterstrike.fandom.com/wiki/Golden	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
2	Grail	https://counterstrike.fandom.com/wiki/Grail	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
2	Grind	https://counterstrike.fandom.com/wiki/Grind	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
2	Guard	https://counterstrike.fandom.com/wiki/Guard	Image; Radar; Logo	Community Bomb maps; Operation Broken Fang maps
2	Gwalior	https://counterstrike.fandom.com/wiki/Gwalior	Image; Radar	Community Bomb maps; Operation Bravo maps
2	Hangar	https://counterstrike.fandom.com/wiki/Hangar	Image	Assassination maps; Counter-Strike: Condition Zero cut maps
2	Hankagai (bomb defusal map)	https://counterstrike.fandom.com/wiki/Hankagai_(bomb_defusal_map)	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
2	Havana	https://counterstrike.fandom.com/wiki/Havana	Image	Counter-Strike (Xbox) Hostage maps; Counter-Strike Hostage maps; Counter-Strike: Condition Zero Hostage maps; Counter-Strike: Source Hostage maps
2	Hideout	https://counterstrike.fandom.com/wiki/Hideout	Image	Counter-Strike cut maps
2	Highrise	https://counterstrike.fandom.com/wiki/Highrise	Image	Assassination maps; Counter-Strike cut maps
2	Hive	https://counterstrike.fandom.com/wiki/Hive	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
2	Hostage-Rescue Training	https://counterstrike.fandom.com/wiki/Hostage-Rescue_Training	Image	Training maps
2	Inferno	https://counterstrike.fandom.com/wiki/Inferno	Image; Radar; Logo	Counter-Strike (Xbox) Bomb maps; Counter-Strike 2 Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Global Offensive Bomb maps; Counter-Strike: Source Bomb maps; Active Duty Group; Defusal Group Delta; Retakes Group; Wingman Group
2	Insertion	https://counterstrike.fandom.com/wiki/Insertion	Image; Radar; Logo	Community Hostage maps; Operation Breakout maps; Operation Hydra maps; Counter-Strike: Global Offensive removed maps
2	Insertion II	https://counterstrike.fandom.com/wiki/Insertion_II	Image; Radar; Logo	Community Hostage maps; Operation Riptide maps
2	Iraq	https://counterstrike.fandom.com/wiki/Iraq	Image	Counter-Strike cut maps
